unique ID;PaperID;RowID;MethodID;Description;NeedChecking;RawData
63;17191;47;147;ProLand - Prognosis of Land Use;Y;"ATOMIS - Assessment Tool for Metals in Soils; SWAT - Soil and Water Assessment Tool; ProF - Prognosis of Floristics; GEPARD - Geographically Explicit Prediction of Animal Richness Distributions; ProLand - Prognosis of Land Use; CHOICE - Choice Valuation of Non-Commodities (linked to including 19 and 22)"
64;17191;47;14;CHOICE - Choice Valuation of Non-Commodities (linked to including 19 and 22);Y;"ATOMIS - Assessment Tool for Metals in Soils; SWAT - Soil and Water Assessment Tool; ProF - Prognosis of Floristics; GEPARD - Geographically Explicit Prediction of Animal Richness Distributions; ProLand - Prognosis of Land Use; CHOICE - Choice Valuation of Non-Commodities (linked to including 19 and 22)"
65;3282;48;14;;N;14
66;23226;49;19;;N;19
67;31733;50;64;Mapping changes in land use (linked to 64);Y;"Mapping changes in land use (linked to 64); Using an equivalent factor table to derive forest$ grassland$ wetland $and other ecosystem service values from farmland values."
68;31733;50;67;Using an equivalent factor table to derive forest$ grassland$ wetland $and other ecosystem service values from farmland values.;Y;"Mapping changes in land use (linked to 64); Using an equivalent factor table to derive forest$ grassland$ wetland $and other ecosystem service values from farmland values."
69;35545;51;112;;N;112
70;33591;52;64;;N;"64; analysis of long-term data collected by third party"
71;33591;52;122;analysis of long-term data collected by third party;Y;"64; analysis of long-term data collected by third party"
72;48520;53;14;;N;14
73;20573;54;131;textual analysis (Suguio1973);Y;"textual analysis (Suguio1973); morphoscopical analysis; geographical data"
74;20573;54;10;morphoscopical analysis;Y;"textual analysis (Suguio1973); morphoscopical analysis; geographical data"
75;20573;54;130;geographical data;Y;"textual analysis (Suguio1973); morphoscopical analysis; geographical data"
76;32181;55;65;;N;65
77;36191;56;19;Dichotomous Choice Contingent Valuation Technique - DC-CVM $ Referendum method) (Arowolo et al 2014);Y;Dichotomous Choice Contingent Valuation Technique - DC-CVM $ Referendum method) (Arowolo et al 2014)
78;19492;57;19;;N;19
79;44920;58;14;;N;14
80;62793;59;19;;N;19
81;47081;60;14;;N;14
82;47081;61;91;;N;91
83;74776;62;19;;N;19
84;25396;63;19;;N;19
85;37413;64;1;;N;"1; conceptual hierarchical modeling (linked to 67)"
86;37413;64;"69;67";conceptual hierarchical modeling (linked to 67);Y;"1; conceptual hierarchical modeling (linked to 67)"
87;69536;65;77;;N;77
88;69536;66;16;Concept modelling (linked to 16 and 78);Y;Concept modelling (linked to 16 and 78)
89;69536;67;77;;N;77
90;35307;68;19;;N;19
91;54458;69;91;;N;91
92;65890;70;22;net present value model (Snyder 2019, linked to 21);Y;net present value model (Snyder 2019, linked to 21)
93;17833;71;19;;N;19
94;37725;72;91;;N;91
95;57640;73;91;;N;91
96;34268;74;1;;N;1
97;76049;75;19;;N;"19; 94"
98;76049;75;94;;N;"19; 94"
99;39127;76;14;;N;14
100;59754;77;79;"""Companion modeling (ComMod)"" (linked to 79)";Y;"""Companion modeling (ComMod)"" (linked to 79)"
101;44435;78;19;;N;"19; 94"
102;44435;78;94;;N;"19; 94"
103;25093;79;109;;N;109
104;34810;80;91;;N;91
105;71139;81;109;Willingness to Participate (linked to 19);Y;Willingness to Participate (linked to 19)
106;27300;82;94;;N;94
107;29506;83;14;;N;14
108;25393;84;77;;N;77
109;40974;85;131;document reviews (linked to 28);Y;"document reviews (linked to 28); semi-direct interviews (linked to 100); direct observation (linked to 75)"
110;40974;85;100;semi-direct interviews (linked to 100);Y;"document reviews (linked to 28); semi-direct interviews (linked to 100); direct observation (linked to 75)"
111;40974;85;146;direct observation (linked to 75);Y;"document reviews (linked to 28); semi-direct interviews (linked to 100); direct observation (linked to 75)"
112;47655;86;14;;N;14
113;17640;87;19;;N;19
114;32003;88;19;;N;19
115;36066;89;91;;N;91
116;36746;90;14;;N;14
117;29743;91;14;;N;"14; 85"
118;29743;91;85;;N;"14; 85"
119;27382;92;19;;N;19
120;27382;93;19;;N;19
121;51387;94;19;;N;19
122;61534;95;14;;N;14
123;36947;96;19;;N;19
124;33383;97;19;;N;19
125;57275;98;100;;N;100
126;63430;99;14;;N;14
127;63664;100;"100;39";in-depth dialogue interviews (linked to 39);Y;"in-depth dialogue interviews (linked to 39); field observations; document review"
128;63664;100;145;field observations;Y;"in-depth dialogue interviews (linked to 39); field observations; document review"
129;63664;100;131;document review;Y;"in-depth dialogue interviews (linked to 39); field observations; document review"
130;37014;101;19;;N;19
131;64154;102;77;;N;"77; Spatial modelling of ecosystem service supply and land degradation hotspots (linked to 67)"
132;64154;102;"130;67";Spatial modelling of ecosystem service supply and land degradation hotspots (linked to 67);Y;"77; Spatial modelling of ecosystem service supply and land degradation hotspots (linked to 67)"
133;38274;103;19;;N;19
134;67114;104;112;;N;"112; 100"
135;67114;104;100;;N;"112; 100"
136;77470;105;14;;N;14
137;61557;106;19;;N;19
138;67496;107;19;;N;19
139;39542;108;19;;N;19
140;46142;109;19;;N;19
141;76064;110;77;;N;77
142;35556;111;14;;N;"14; 22"
143;35556;111;22;;N;"14; 22"
144;20978;112;19;;N;19
145;41145;113;19;;N;"19; 112"
146;41145;113;112;;N;"19; 112"
147;72614;114;"64;67";ES zoning (64?);Y;"ES zoning (64?); ""matter-quantity - value-quantity (Costanza et al. 1997)""; 6 in combination with scenarios; 22"
148;72614;114;67;"""matter-quantity - value-quantity (Costanza et al. 1997)""";Y;"ES zoning (64?); ""matter-quantity - value-quantity (Costanza et al. 1997)""; 6 in combination with scenarios; 22"
149;72614;114;6;6 in combination with scenarios;Y;"ES zoning (64?); ""matter-quantity - value-quantity (Costanza et al. 1997)""; 6 in combination with scenarios; 22"
150;72614;114;22;;N;"ES zoning (64?); ""matter-quantity - value-quantity (Costanza et al. 1997)""; 6 in combination with scenarios; 22"
151;37667;115;14;;N;14
152;72614;116;19;;N;19
153;72673;117;100;;N;100
154;43418;118;77;;N;77
155;37792;119;19;;N;19
156;40450;120;14;;N;14
157;18730;121;10;;N;10
158;40717;122;19;;N;19
159;43418;123;77;;N;77
160;43418;124;77;;N;77
161;43418;125;77;;N;77
162;43418;126;77;;N;77
163;74437;127;91;;N;91
164;57360;128;14;discrete choice experiment (linked to 14);Y;discrete choice experiment (linked to 14)
165;73705;129;119;"Equivilant Adult Model (""EA model (Horst 1975)"")";Y;"Equivilant Adult Model (""EA model (Horst 1975)""); habitat productivity index (HPI) (Minns et al. 2011)"
166;73705;129;132;habitat productivity index (HPI) (Minns et al. 2011);Y;"Equivilant Adult Model (""EA model (Horst 1975)""); habitat productivity index (HPI) (Minns et al. 2011)"
167;75779;130;19;;N;19
168;41412;131;112;;N;112
169;75779;132;162;nature relatedness - NR scale (Nisbet et al. 2008);Y;nature relatedness - NR scale (Nisbet et al. 2008)
170;58204;133;19;;N;19
171;47270;134;141;fishing-game-under-uncertainty experiment (Ostrom et al. 1994);Y;fishing-game-under-uncertainty experiment (Ostrom et al. 1994)
172;47270;135;141;fishing-game-under-uncertainty experiment (Ostrom et al. 1994);Y;fishing-game-under-uncertainty experiment (Ostrom et al. 1994)
173;43351;136;19;;N;19
174;56333;137;82;;N;"82; 109"
175;56333;137;109;;N;"82; 109"
176;50730;138;14;Double Bounded Dichotomous Choice Method (linked to 19);Y;"Double Bounded Dichotomous Choice Method (linked to 19); 22"
177;50730;138;22;;N;"Double Bounded Dichotomous Choice Method (linked to 19); 22"
178;26357;139;112;;N;"112; 91"
179;26357;139;91;;N;"112; 91"
180;39975;140;14;;N;14
181;19047;141;14;;N;14
182;42033;142;122;Heckman modelling (Heckman 1979, linked to 67);Y;Heckman modelling (Heckman 1979, linked to 67)
183;59746;143;112;;N;"112; 43; focus groups; semi-structured interviews"
184;59746;143;43;;N;"112; 43; focus groups; semi-structured interviews"
185;59746;143;43;focus groups;Y;"112; 43; focus groups; semi-structured interviews"
186;59746;143;100;semi-structured interviews;Y;"112; 43; focus groups; semi-structured interviews"
187;66597;144;14;;N;14
188;42505;145;109;;N;109
189;32577;146;91;;N;91
190;51067;147;14;;N;14
191;42889;148;14;;N;14
192;43875;149;14;;N;14
193;73675;150;19;;N;19
194;71453;151;19;;N;19
195;17399;152;19;Contigent valuation method (linked to 19);Y;Contigent valuation method (linked to 19)
196;46967;153;91;;N;91
197;50932;154;91;;N;91
198;21606;155;85;;N;85
199;28890;156;91;;N;91
200;72714;157;19;;N;19
201;37396;158;14;;N;14
202;22099;159;19;;N;19
203;59929;160;1;;N;1
204;36352;161;14;;N;14
205;60462;162;19;;N;19
206;46002;163;27;Deliberative monetary valuation - DMV (linked to 27);Y;Deliberative monetary valuation - DMV (linked to 27)
207;60713;164;77;;N;77
208;58996;165;23;;N;23
209;70291;166;14;;N;14
210;61648;167;14;;N;14
211;35520;168;144;Revealed preferences (Becker-DeGroot-Marschak (BDM) experimental auction) (linked to 93);Y;Revealed preferences (Becker-DeGroot-Marschak (BDM) experimental auction) (linked to 93)
212;35520;169;144;Revealed preferences %Becker-DeGroot-Marschak - BDM experimental auction% (linked to 93);Y;Revealed preferences %Becker-DeGroot-Marschak - BDM experimental auction% (linked to 93)
213;40641;170;14;;N;14
214;17668;171;14;Choice experiment (linked to 14);Y;Choice experiment (linked to 14)
215;41547;172;14;;N;14
216;76569;173;1;;N;1
217;72884;174;19;;N;19
218;57832;175;19;;N;19
219;41547;176;14;Rating and ranking game (Oleson et al. (2014) related to 70;Y;Rating and ranking game (Oleson et al. (2014) related to 70
220;63347;177;14;;N;14
221;64613;178;14;;N;14
222;50294;179;1;;N;"1; Structural Equation Modelling - SEM"
223;50294;179;122;Structural Equation Modelling - SEM;Y;"1; Structural Equation Modelling - SEM"
224;66746;180;100; interviews (individual and group);Y;92/100: interviews (individual and group)
225;66600;181;22;;N;22
226;27570;182;14;Choice experiment (linked to 14);Y;Choice experiment (linked to 14)
227;69530;183;14;;N;14
228;74846;184;19;;N;19
229;39976;185;91;;N;91
230;46029;186;19;;N;19
231;47977;187;14;;N;14
232;46832;188;14;;N;14
233;20097;189;125;Species inventory;Y;Species inventory
234;48359;190;43;;N;43
235;53554;191;19;;N;19
236;53554;192;112;;N;112
237;56080;193;14;choice-based conjoint analysis $ once face-to-face and once online (Gustafsson et al. 2007, linked to 14);Y;choice-based conjoint analysis $ once face-to-face and once online (Gustafsson et al. 2007, linked to 14)
238;56720;194;91;;N;91
239;33233;195;19;Contigent valuation method (linked to 19);Y;Contigent valuation method (linked to 19)
240;33639;196;91;Questionnaires;Y;Questionnaires
241;17155;197;124;"""Participatory vulnerability assessment"" (linked to 79)";Y;"""Participatory vulnerability assessment"" (linked to 79)"
242;11326;198;57;;N;"57; LISA - Local Indicators of Spatial Association Index (linked to 64)"
243;11326;198;130;LISA - Local Indicators of Spatial Association Index (linked to 64);Y;"57; LISA - Local Indicators of Spatial Association Index (linked to 64)"
244;27556;199;10;Experimental long-line fishing (linked to 10);Y;Experimental long-line fishing (linked to 10)
245;47832;200;134;Pitfall trap sampling (linked to 10);Y;Pitfall trap sampling (linked to 10)
246;24485;201;137;Bark stripping damage survey (linked to 112);Y;Bark stripping damage survey (linked to 112)
247;57758;202;100;Interview (linked to 92);Y;Interview (linked to 92)
248;42809;203;77;;N;77
249;67355;204;91;;N;91
250;58694;205;100;;N;100
251;61072;206;19;;N;19
252;67347;207;19;;N;19
253;68716;208;19;;N;19
254;75082;209;14;;N;14
255;59213;210;109;112 or 109?;Y;112 or 109?
256;66820;211;91;;N;91
257;74708;212;14;;N;14
258;68288;213;109;;N;"109; Revealed preference NOT 93 (linked to 94)"
259;68288;213;144;Revealed preference NOT 93 (linked to 94);Y;"109; Revealed preference NOT 93 (linked to 94)"
260;56403;214;14;;N;14
261;34378;215;19;Contigent valuation;Y;Contigent valuation
262;32685;216;14;;N;14
263;36540;217;91;Questionnaire;Y;Questionnaire
264;21717;218;14;14/109;Y;14/109
265;22017;219;10;exuvial count;Y;exuvial count
266;58559;220;112;;N;"112; 77"
267;58559;220;77;;N;"112; 77"
268;62600;221;69;;N;69
269;28289;222;65;;N;"65; productivity method; 19"
270;28289;222;128;productivity method;Y;"65; productivity method; 19"
271;28289;222;19;;N;"65; productivity method; 19"
272;59724;223;14;;N;14
273;29922;224;67;;N;"67; Field sampling of insects and fish (linked to 10); Graph theory mapping (linked to 64)"
274;29922;224;"134; 10";Field sampling of insects and fish (linked to 10);Y;"67; Field sampling of insects and fish (linked to 10); Graph theory mapping (linked to 64)"
275;29922;224;64;Graph theory mapping (linked to 64);Y;"67; Field sampling of insects and fish (linked to 10); Graph theory mapping (linked to 64)"
276;29091;225;138;Stand structure analysis;Y;Stand structure analysis
277;2790;226;134;Vegetation %tree% sampling (linked to to 10);Y;Vegetation %tree% sampling (linked to to 10)
278;29091;227;138;Canopy gap monitoring;Y;Canopy gap monitoring
279;70567;228;19;;N;19
280;29091;229;138;Tree generation field survey;Y;Tree generation field survey
281;44737;230;14;Choice chamber experiment;Y;Choice chamber experiment
282;59132;231;91;;N;91
283;25524;232;122;statistical Analysis - Pearson´s chi-square$ two-way ANOVA$ binary logistic regression;Y;statistical Analysis - Pearson´s chi-square$ two-way ANOVA$ binary logistic regression
284;30822;233;137;Quadrat method;Y;Quadrat method
285;66894;234;14;;N;14
286;48539;235;52;Efficacy assessment (linked to 52);Y;Efficacy assessment (linked to 52)
287;69632;236;137;Camera trapping (linked to 10);Y;Camera trapping (linked to 10)
288;67782;237;112;;N;112
289;58543;238;14;;N;"14; Relevealed Preferece - Other (linked to 93 and 94)"
290;58543;238;144;Relevealed Preferece - Other (linked to 93 and 94);Y;"14; Relevealed Preferece - Other (linked to 93 and 94)"
291;37659;239;91;Questionnaire;Y;"Questionnaire; Travel cost; Contingent valuation"
292;37659;239;94;Travel cost;Y;"Questionnaire; Travel cost; Contingent valuation"
293;37659;239;19;Contingent valuation;Y;"Questionnaire; Travel cost; Contingent valuation"
294;26512;240;14;;N;14
295;23895;241;142;LIME -Lifecycle Impact assessment Method based on Endpoint modelling (Itsubo et al. 2004 and 2010);Y;LIME -Lifecycle Impact assessment Method based on Endpoint modelling (Itsubo et al. 2004 and 2010)
296;19053;242;67;Soil organic carbon assessment incl. the Loss on Ignition Protocol (linked to 10);Y;Soil organic carbon assessment incl. the Loss on Ignition Protocol (linked to 10)
297;39414;243;14;Choice experiment;Y;Choice experiment
298;20678;244;112;;N;112
299;20678;245;157;Social-Ecological Systems - SES Model;Y;Social-Ecological Systems - SES Model
300;41206;246;91;Questionnaire;Y;Questionnaire
301;56238;247;78;Companion Modeling Approach - ComMod) (linked to 78 $a sub-type of);Y;Companion Modeling Approach - ComMod) (linked to 78 $a sub-type of)
302;74821;248;14;;N;14
303;29915;249;14;Integration of Systematic conservation planning an a discrete choice experiment (linked to 14);Y;Integration of Systematic conservation planning an a discrete choice experiment (linked to 14)
304;43101;250;112;Survey;Y;"Survey; Questionnaire"
305;43101;250;91;Questionnaire;Y;"Survey; Questionnaire"
306;32708;251;19;;N;"19; Human Ecology (Seaton AV 2002 linked to 75)"
307;32708;251;154;Human Ecology (Seaton AV 2002 linked to 75);Y;"19; Human Ecology (Seaton AV 2002 linked to 75)"
308;47207;252;14;Choice experiment (linked to 14);Y;Choice experiment (linked to 14)
309;44371;253;22;;N;22
310;52656;254;130;Spatial Optimization Model (Nielsen et al 2016, linked to 21);Y;Spatial Optimization Model (Nielsen et al 2016, linked to 21)
311;52656;255;124;Species Survival Probability Model (Nielsen et al 2016, linked to 86);Y;Species Survival Probability Model (Nielsen et al 2016, linked to 86)
312;52656;256;161;Model of Landowner Participation (Nagubadia et al. 1996 and Langpap 2004);Y;Model of Landowner Participation (Nagubadia et al. 1996 and Langpap 2004)
313;19522;257;67;;N;67
314;36215;258;138;Crown Condition Survey (Eichhorn et al 2010);Y;Crown Condition Survey (Eichhorn et al 2010)
315;6614;259;10;;N;10
316;24017;260;10;;N;10
317;51339;261;19;;N;19
318;68694;262;91;;N;91
319;37775;263;19;;N;19
320;46236;264;112;;N;112
321;71626;265;100;explorative interview (Honer 1994);Y;explorative interview (Honer 1994)
322;32152;266;43;;N;"43; 79; 91; 92"
323;32152;266;79;;N;"43; 79; 91; 92"
324;32152;266;91;;N;"43; 79; 91; 92"
325;32152;266;92;;N;"43; 79; 91; 92"
326;46135;267;10;bird surveys and microhabitat covariate surveys (linked to 112);Y;bird surveys and microhabitat covariate surveys (linked to 112)
327;21161;268;36;;N;36
328;66579;269;66;;N;66
329;21446;270;79;;N;79
330;40470;271;49;;N;49
331;70842;272;10;;N;10
332;23081;273;49;;N;49
333;70122;274;94;;N;94
334;51743;275;19;;N;19
335;22978;276;112;;N;112
336;31502;277;108;Continuous-time real options model (linked to 108);Y;Continuous-time real options model (linked to 108)
337;54477;278;14;;N;14
338;74268;279;14;;N;14
339;55249;280;14;;N;14
340;43065;281;14;;N;14
341;20154;282;"146; 67";Identification of important plant areas (linked to 10);Y;Identification of important plant areas (linked to 10)
342;3804;283;49;;N;49
343;55482;284;14;;N;14
344;9382;285;125;Forest inventory;Y;Forest inventory
345;58312;286;19;;N;19
346;11314;287;137;Point-count survey for birds;Y;Point-count survey for birds
347;66358;288;14;;N;14
348;35932;289;112;;N;112
349;70108;290;23;;N;23
350;72577;291;91;;N;91
351;16357;292;137;Catch-per-unit effort $based on traps$;Y;Catch-per-unit effort $based on traps$
352;65695;293;14;;N;14
353;69917;294;94;;N;94
354;23119;295;69;Gap analysis;Y;Gap analysis
355;23152;296;137;Fauna collection $from trees$;Y;Fauna collection $from trees$
356;70334;297;91;;N;91
357;74101;298;14;;N;"14; Remote sensing (linked to 64)"
358;74101;298;130;Remote sensing (linked to 64);Y;"14; Remote sensing (linked to 64)"
359;41100;299;134;Field survey using Mean Trophic Rank - MTR protocol;Y;Field survey using Mean Trophic Rank - MTR protocol
360;41100;300;134;Field survey using Mean Trophic Rank - MTR protocol;Y;Field survey using Mean Trophic Rank - MTR protocol
361;74135;301;100;;N;100
362;47673;302;142;Lifecycle Impact Assessment (LCIA);Y;Lifecycle Impact Assessment (LCIA)
363;10354;303;125;Forest inventory;Y;Forest inventory
364;29186;304;14;;N;14
365;32324;305;100;Interviews;Y;Interviews
366;64319;306;156;Least Cost Corridor Analysis;Y;Least Cost Corridor Analysis
367;50630;307;19;Contigent valuation method (linked to 19);Y;Contigent valuation method (linked to 19)
368;64319;308;156;Least Cost Corridor Analysis;Y;Least Cost Corridor Analysis
369;31693;309;67;Conservation assessment;Y;Conservation assessment
370;52513;310;43;Focus group discussion;Y;"Focus group discussion; Interviews"
371;52513;310;100;Interviews;Y;"Focus group discussion; Interviews"
372;801;311;25;Replacement-cost Ecosystem Service Valuation method (Bockstael et al., 2000;Y;"Replacement-cost Ecosystem Service Valuation method (Bockstael et al., 2000; Hanley and Barbier, 2009)"
373;801;311;;Hanley and Barbier, 2009);Y;"Replacement-cost Ecosystem Service Valuation method (Bockstael et al., 2000; Hanley and Barbier, 2009)"
374;67525;312;140;ethnoecological approach (Huntington 2000 Marques 2001 Rodrigues 2009);Y;ethnoecological approach (Huntington 2000 Marques 2001 Rodrigues 2009)
375;32604;313;91;;N;"91; Game Theoretical Model (Lise 2007, linked to 78)"
376;32604;313;141;Game Theoretical Model (Lise 2007, linked to 78);Y;"91; Game Theoretical Model (Lise 2007, linked to 78)"
377;35298;314;77;;N;77
378;37405;315;"92; 122; 109";Rational Choice Theory (Lunt 2006 and Tucker 2007);Y;Rational Choice Theory (Lunt 2006 and Tucker 2007)
379;45855;316;10;;N;"10; 91"
380;45855;316;91;;N;"10; 91"
381;63176;317;10;;N;10
382;75005;318;19;;N;19
383;35278;319;10;;N;10
384;76217;320;19;;N;19
385;27811;321;32;;N;32
386;44208;322;14;;N;14
387;21554;323;37;;N;37
388;23283;324;43;;N;"43; 100"
389;23283;324;100;;N;"43; 100"
390;37379;325;134;field survey;Y;field survey
391;39720;326;137;"field bird surveys ""using area search methods based on spot-mapping techniques (Ralph et al 1993)";Y;"field bird surveys ""using area search methods based on spot-mapping techniques (Ralph et al 1993)"
392;74953;327;112;;N;112
393;22812;328;109;Landscape IMAGES (Groot et al. 2007, linked to 109);Y;Landscape IMAGES (Groot et al. 2007, linked to 109)
394;24310;329;10;;N;10
395;48791;330;134;sampling of plants and subsequent laboratory examination $among others examination of biological traits of organisms$;Y;sampling of plants and subsequent laboratory examination $among others examination of biological traits of organisms$
396;48791;331;134;sampling of plants and subsequent laboratory examination $among others examination of biological traits of organisms$;Y;sampling of plants and subsequent laboratory examination $among others examination of biological traits of organisms$
397;70939;332;91;;N;"91; 112; 14; 19"
398;70939;332;112;;N;"91; 112; 14; 19"
399;70939;332;14;;N;"91; 112; 14; 19"
400;70939;332;19;;N;"91; 112; 14; 19"
401;30204;333;19;;N;19
402;46851;334;32;;N;32
403;61526;335;144;Inferred valuation - IV;Y;"Inferred valuation - IV; Contingent valuation - CV"
404;61526;335;19;Contingent valuation - CV;Y;"Inferred valuation - IV; Contingent valuation - CV"
405;31818;336;91;;N;91
406;54613;337;112;;N;"112; 91; 14"
407;54613;337;91;;N;"112; 91; 14"
408;54613;337;14;;N;"112; 91; 14"
409;11963;338;100;;N;100
410;10261;339;37;;N;37
411;76156;340;112;;N;"112; 91; 14"
412;76156;340;91;;N;"112; 91; 14"
413;76156;340;14;;N;"112; 91; 14"
414;69808;341;109;;N;109
415;2495;342;10;;N;10
416;38461;343;112;;N;112
417;39773;344;155;MODIS/NDVI and climate time series (Keersmaecker et al 2015, linked to 10);Y;MODIS/NDVI and climate time series (Keersmaecker et al 2015, linked to 10)
418;40240;345;10;;N;10
419;34673;346;112;;N;"112; 91; 14"
420;34673;346;91;;N;"112; 91; 14"
421;34673;346;14;;N;"112; 91; 14"
422;40676;347;14;;N;"14; 112"
423;40676;347;112;;N;"14; 112"
424;28600;348;94;;N;94
425;58888;349;112;;N;"112; 14"
426;58888;349;14;;N;"112; 14"
427;31829;350;19;;N;19
428;61291;351;100;;N;"100; 14"
429;61291;351;14;;N;"100; 14"
430;68504;352;100;;N;"100; 91"
431;68504;352;91;;N;"100; 91"
432;23709;353;100;interviews (linked to 43);Y;"interviews (linked to 43); in situ recordings"
433;23709;353;131;in situ recordings;Y;"interviews (linked to 43); in situ recordings"
434;36741;354;14;;N;14
435;4714;355;154;human ecology conceptual framework (Whitney 2017);Y;human ecology conceptual framework (Whitney 2017)
436;24916;356;67;;N;67
437;26406;357;19;;N;19
438;23529;358;112;;N;112
439;39142;359;19;single-bounded dichotomous choice design (Withehead 2002, linked to 19);Y;"single-bounded dichotomous choice design (Withehead 2002, linked to 19); double-bounded dichotomous design (Hanemann et al. 1991, linked to 19)"
440;39142;359;19;double-bounded dichotomous design (Hanemann et al. 1991, linked to 19);Y;"single-bounded dichotomous choice design (Withehead 2002, linked to 19); double-bounded dichotomous design (Hanemann et al. 1991, linked to 19)"
441;45090;360;19;;N;19
442;41449;361;149;Enthoecological approach (linked to 37);Y;"Enthoecological approach (linked to 37); Free listing (linked to 91)"
443;41449;361;91;Free listing (linked to 91);Y;"Enthoecological approach (linked to 37); Free listing (linked to 91)"
444;29947;362;57;;N;57
445;33393;363;94;;N;94
446;42899;364;64;;N;64
447;39672;365;37;;N;"37; 79"
448;39672;365;79;;N;"37; 79"
449;76572;366;56;Ostrom's Social and Ecological System framework and conflict theory (Ostrom 2007);Y;"Ostrom's Social and Ecological System framework and conflict theory (Ostrom 2007); 91; 112; 100"
450;76572;366;91;;N;"Ostrom's Social and Ecological System framework and conflict theory (Ostrom 2007); 91; 112; 100"
451;76572;366;112;;N;"Ostrom's Social and Ecological System framework and conflict theory (Ostrom 2007); 91; 112; 100"
